
   Id ProcessName                      Path
   -- -----------                      ----
 9092 ActualWindowManagerCenter        C:\Program Files (x86)\Actual Window Manager\ActualWindowManagerCenter.exe
15860 ActualWindowManagerCenter64      C:\Program Files (x86)\Actual Window Manager\ActualWindowManagerCenter64.exe
18816 ActualWindowManagerShellCenter64 C:\Program Files (x86)\Actual Window Manager\ActualWindowManagerShellCenter64.exe
 9220 AdobeARM                         C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe
21148 agy                              C:\Users\Administrator\AppData\Local\agy\bin\agy.exe
 7468 Antigravity                      C:\Users\Administrator\AppData\Local\Programs\antigravity\Antigravity.exe
 8276 Antigravity                      C:\Users\Administrator\AppData\Local\Programs\antigravity\Antigravity.exe
10136 Antigravity                      C:\Users\Administrator\AppData\Local\Programs\antigravity\Antigravity.exe
 1916 ApplicationFrameHost             C:\Windows\system32\ApplicationFrameHost.exe
 8560 audiodg                          C:\Windows\system32\AUDIODG.EXE
 2916 AutoClose-Brackets               C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup\AutoClose-Brackets.…
 8464 autoplay                         C:\Theming\autoplay.exe
 5340 cl                               C:\Program Files (x86)\Microsoft Visual Studio\2022\BuildTools\VC\Tools\MSVC\14.…
20532 cl                               C:\Program Files (x86)\Microsoft Visual Studio\2022\BuildTools\VC\Tools\MSVC\14.…
 8364 ClipBack-Saver                   C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Startup\ClipBack-Saver.exe
17484 cmd                              C:\Windows\system32\cmd.exe
22724 cmd                              C:\Windows\system32\cmd.exe
 8084 conhost                          C:\Windows\system32\conhost.exe
22124 conhost                          C:\Windows\system32\conhost.exe
24664 conhost                          C:\Windows\system32\conhost.exe
  676 csrss                            
  828 csrss                            
 5888 dasHost                          C:\Windows\system32\dashost.exe
 7128 dasHost                          C:\Windows\system32\dashost.exe
 1220 dllhost                          C:\Windows\system32\DllHost.exe
 7024 dllhost                          C:\Windows\system32\DllHost.exe
 1208 dwm                              C:\Windows\system32\dwm.exe
 8576 ehmsas                           C:\Windows\ehome\ehmsas.exe
 8252 ehtray                           C:\Windows\ehome\ehtray.exe
 4084 Everything                       C:\Program Files\Everything\Everything.exe
26172 Everything                       C:\Program Files\Everything\Everything.exe
  464 explorer                         C:\Windows\explorer.exe
 3952 firefox                          C:\Program Files\Mozilla Firefox\firefox.exe
10492 firefox                          C:\Program Files\Mozilla Firefox\firefox.exe
13780 firefox                          C:\Program Files\Mozilla Firefox\firefox.exe
14696 firefox                          C:\Program Files\Mozilla Firefox\firefox.exe
14992 firefox                          C:\Program Files\Mozilla Firefox\firefox.exe
16860 firefox                          C:\Program Files\Mozilla Firefox\firefox.exe
23900 firefox                          C:\Program Files\Mozilla Firefox\firefox.exe
25416 firefox                          C:\Program Files\Mozilla Firefox\firefox.exe
  524 fontdrvhost                      C:\Windows\system32\fontdrvhost.exe
 1136 fontdrvhost                      C:\Windows\system32\fontdrvhost.exe
26400 git                              C:\Reunion7_Windows\Program Files\Git\mingw64\bin\git.exe
11608 GitHubDesktop                    C:\Users\Administrator\AppData\Local\GitHubDesktop\app-3.6.3-beta1\GitHubDesktop…
19324 GitHubDesktop                    C:\Users\Administrator\AppData\Local\GitHubDesktop\app-3.6.3-beta1\GitHubDesktop…
21632 GitHubDesktop                    C:\Users\Administrator\AppData\Local\GitHubDesktop\app-3.6.3-beta1\GitHubDesktop…
24404 GitHubDesktop                    C:\Users\Administrator\AppData\Local\GitHubDesktop\app-3.6.3-beta1\GitHubDesktop…
16708 HelpPane                         C:\Windows\helppane.exe
    0 Idle                             
 2660 igfxCUIService                   C:\Windows\System32\DriverStore\FileRepository\cui_dch.inf_amd64_b787c039819e9d9…
 7376 igfxEM                           C:\Windows\System32\DriverStore\FileRepository\cui_dch.inf_amd64_b787c039819e9d9…
 1696 IntelCpHDCPSvc                   C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_5579cd97fbcd45…
11532 language_server                  C:\Users\Administrator\AppData\Local\Programs\antigravity\resources\bin\language…
  908 lsass                            C:\Windows\system32\lsass.exe
 5952 Memory Compression               
 3988 MicrosoftEdgeUpdate              C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe
 4240 MpDefenderCoreService            
19744 MSBuild                          C:\Program Files (x86)\Microsoft Visual Studio\2022\BuildTools\MSBuild\Current\B…
 3196 MsMpEng                          
  960 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 1384 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 1868 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 3324 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 3696 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 4388 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 4392 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 4944 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 5112 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 5372 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 5640 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 5896 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 6308 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 6572 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 6652 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 6736 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 6892 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
 7572 NetworkTray                      C:\Programs\Vista Network\Tray\NetworkTray.exe
